file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\MatheusGastonVianaSi\Documents\GitHub\lab-experimentacao-software\lab02\code\trials\matheus_gaston\Manual\K06\Solution.java,katas.k06.Solution,"placeQueen/2[int,int]",false,60,0,1,1,0,1,0,5,0,0,2,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,6,2,0,false
C:\Users\MatheusGastonVianaSi\Documents\GitHub\lab-experimentacao-software\lab02\code\trials\matheus_gaston\Manual\K06\Solution.java,katas.k06.Solution,"isPositionUnderAttack/2[int,int]",false,54,0,1,1,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,7,2,0,false
C:\Users\MatheusGastonVianaSi\Documents\GitHub\lab-experimentacao-software\lab02\code\trials\matheus_gaston\Manual\K06\Solution.java,katas.k06.Solution,"removeQueen/2[int,int]",false,66,0,1,1,0,1,0,5,0,0,2,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,6,2,0,false
C:\Users\MatheusGastonVianaSi\Documents\GitHub\lab-experimentacao-software\lab02\code\trials\matheus_gaston\Manual\K06\Solution.java,katas.k06.Solution,totalNQueens/1[int],false,24,2,1,0,1,1,1,9,1,0,1,1,1,2,0,0,0,0,0,6,5,4,0,0,0,0,18,1,0,false
C:\Users\MatheusGastonVianaSi\Documents\GitHub\lab-experimentacao-software\lab02\code\trials\matheus_gaston\Manual\K06\Solution.java,katas.k06.Solution,placeQueenInRow/1[int],false,37,1,6,2,4,4,4,14,1,1,1,4,4,1,1,1,0,0,0,2,1,1,2,0,0,0,16,2,0,false
