file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\dtiDigital\Desktop\lab-experimentacao-software\lab02\code\trials\mirelly_alvarenga\Manual\K05\Solution.java,katas.k05.Solution,"dfs/3[int,int,int[]]",false,24,2,3,2,1,4,1,12,3,1,3,1,1,0,0,2,0,0,0,4,3,2,1,0,0,0,7,2,0,false
C:\Users\dtiDigital\Desktop\lab-experimentacao-software\lab02\code\trials\mirelly_alvarenga\Manual\K05\Solution.java,katas.k05.Solution,longestCycle/1[int[]],false,7,3,1,0,1,3,3,13,1,3,1,3,1,1,1,0,0,0,0,4,6,0,2,0,0,0,9,1,0,false
